PointCloud,H1_Birth,H1_Death
Fp1_Col1_Fp1_Col2,9.953970909,10.87519741
Fp1_Col1_Fp1_Col2,9.862513542,10.95740318
Fp1_Col1_Fp1_Col2,9.854809761,11.99244308
Fp1_Col1_Fp1_Col2,9.848809242,11.56492233
Fp1_Col1_Fp1_Col2,9.813316345,11.10279655
Fp1_Col1_Fp1_Col2,9.812932968,10.34149075
Fp1_Col1_Fp1_Col2,9.798725128,11.50063229
Fp1_Col1_Fp1_Col2,9.773834229,9.902505875
Fp1_Col1_Fp1_Col2,9.754927635,10.71421623
Fp1_Col1_Fp1_Col2,9.737584114,13.53241158
Fp1_Col1_Fp1_Col2,9.703808784,14.97157192
Fp1_Col1_Fp1_Col2,9.691616058,9.91848278
Fp1_Col1_Fp1_Col2,9.667020798,11.86040688
Fp1_Col1_Fp1_Col2,9.63136673,9.936796188
Fp1_Col1_Fp1_Col2,9.630635262,10.42768478
Fp1_Col1_Fp1_Col2,9.629149437,10.42681026
Fp1_Col1_Fp1_Col2,9.622455597,10.75133228
Fp1_Col1_Fp1_Col2,9.609609604,9.772585869
Fp1_Col1_Fp1_Col2,9.545672417,10.00784206
Fp1_Col1_Fp1_Col2,9.53856945,14.15997314
Fp1_Col1_Fp1_Col2,9.529837608,17.53256989
Fp1_Col1_Fp1_Col2,9.519790649,10.193367
Fp1_Col1_Fp1_Col2,9.499453545,13.975564
Fp1_Col1_Fp1_Col2,9.48651123,9.771436691
Fp1_Col1_Fp1_Col2,9.485799789,9.951159477
Fp1_Col1_Fp1_Col2,9.469011307,16.1482563
Fp1_Col1_Fp1_Col2,9.444526672,15.14823914
Fp1_Col1_Fp1_Col2,9.418159485,9.977583885
Fp1_Col1_Fp1_Col2,9.411250114,9.775877953
Fp1_Col1_Fp1_Col2,9.401657104,12.42101192
Fp1_Col1_Fp1_Col2,9.376897812,10.2198782
Fp1_Col1_Fp1_Col2,9.359968185,14.64259434
Fp1_Col1_Fp1_Col2,9.338492393,10.1670723
Fp1_Col1_Fp1_Col2,9.325872421,11.39945412
Fp1_Col1_Fp1_Col2,9.296681404,9.925205231
Fp1_Col1_Fp1_Col2,9.284813881,9.773818016
Fp1_Col1_Fp1_Col2,9.261208534,10.5882864
Fp1_Col1_Fp1_Col2,9.243700027,11.82748699
Fp1_Col1_Fp1_Col2,9.226752281,11.15500355
Fp1_Col1_Fp1_Col2,9.216654778,10.0053997
Fp1_Col1_Fp1_Col2,9.180073738,12.47393036
Fp1_Col1_Fp1_Col2,9.172128677,9.82721138
Fp1_Col1_Fp1_Col2,9.158935547,16.79370499
Fp1_Col1_Fp1_Col2,9.149891853,10.87061596
Fp1_Col1_Fp1_Col2,9.148655891,16.76850319
Fp1_Col1_Fp1_Col2,9.147613525,9.675318718
Fp1_Col1_Fp1_Col2,9.116297722,12.76429558
Fp1_Col1_Fp1_Col2,9.111390114,13.05553722
Fp1_Col1_Fp1_Col2,9.106912613,10.30192184
Fp1_Col1_Fp1_Col2,9.104389191,9.864876747
Fp1_Col1_Fp1_Col2,9.043394089,9.181480408
Fp1_Col1_Fp1_Col2,9.019468307,10.92944813
Fp1_Col1_Fp1_Col2,9.01371479,9.245175362
Fp1_Col1_Fp1_Col2,8.997292519,9.613290787
Fp1_Col1_Fp1_Col2,8.976994514,9.697751045
Fp1_Col1_Fp1_Col2,8.967710495,9.030488968
Fp1_Col1_Fp1_Col2,8.875020027,10.65131474
Fp1_Col1_Fp1_Col2,8.871357918,14.02647495
Fp1_Col1_Fp1_Col2,8.848296165,9.250058174
Fp1_Col1_Fp1_Col2,8.844975471,8.983141899
Fp1_Col1_Fp1_Col2,8.800811768,9.927352905
Fp1_Col1_Fp1_Col2,8.790121078,21.05042458
Fp1_Col1_Fp1_Col2,8.784116745,9.023766518
Fp1_Col1_Fp1_Col2,8.768461227,9.614922523
Fp1_Col1_Fp1_Col2,8.746383667,14.79288673
Fp1_Col1_Fp1_Col2,8.726441383,10.2632637
Fp1_Col1_Fp1_Col2,8.708524704,17.45188141
Fp1_Col1_Fp1_Col2,8.708127022,9.165254593
Fp1_Col1_Fp1_Col2,8.705020905,9.29076767
Fp1_Col1_Fp1_Col2,8.698552132,9.035093307
Fp1_Col1_Fp1_Col2,8.677030563,9.674167633
Fp1_Col1_Fp1_Col2,8.638671875,11.32147408
Fp1_Col1_Fp1_Col2,8.635921478,10.27160358
Fp1_Col1_Fp1_Col2,8.59864521,8.678840637
Fp1_Col1_Fp1_Col2,8.590285301,12.72278214
Fp1_Col1_Fp1_Col2,8.587245941,10.39198589
Fp1_Col1_Fp1_Col2,8.57490921,13.24009991
Fp1_Col1_Fp1_Col2,8.565032959,13.23262405
Fp1_Col1_Fp1_Col2,8.564566612,9.228297234
Fp1_Col1_Fp1_Col2,8.563883781,11.77912235
Fp1_Col1_Fp1_Col2,8.553931236,8.912065506
Fp1_Col1_Fp1_Col2,8.553400993,9.40530014
Fp1_Col1_Fp1_Col2,8.546227455,10.18547821
Fp1_Col1_Fp1_Col2,8.520620346,8.747671127
Fp1_Col1_Fp1_Col2,8.512958527,9.604624748
Fp1_Col1_Fp1_Col2,8.501637459,8.796513557
Fp1_Col1_Fp1_Col2,8.494149208,9.483743668
Fp1_Col1_Fp1_Col2,8.481467247,14.352314
Fp1_Col1_Fp1_Col2,8.468915939,9.890069962
Fp1_Col1_Fp1_Col2,8.453787804,8.997345924
Fp1_Col1_Fp1_Col2,8.429188728,9.466246605
Fp1_Col1_Fp1_Col2,8.423279762,9.027647018
Fp1_Col1_Fp1_Col2,8.405070305,8.534380913
Fp1_Col1_Fp1_Col2,8.391564369,11.54034138
Fp1_Col1_Fp1_Col2,8.384050369,14.94884968
Fp1_Col1_Fp1_Col2,8.346648216,8.572838783
Fp1_Col1_Fp1_Col2,8.334712982,9.773801804
Fp1_Col1_Fp1_Col2,8.332637787,9.985722542
Fp1_Col1_Fp1_Col2,8.320691109,10.81411266
Fp1_Col1_Fp1_Col2,8.304113388,8.683320045
Fp1_Col1_Fp1_Col2,8.284779549,9.115180016
Fp1_Col1_Fp1_Col2,8.280344963,8.658965111
Fp1_Col1_Fp1_Col2,8.235649109,8.858597755
Fp1_Col1_Fp1_Col2,8.225773811,9.252121925
Fp1_Col1_Fp1_Col2,8.196192741,9.251852989
Fp1_Col1_Fp1_Col2,8.170763969,10.31212902
Fp1_Col1_Fp1_Col2,8.170413971,9.858917236
Fp1_Col1_Fp1_Col2,8.169300079,13.7234869
Fp1_Col1_Fp1_Col2,8.157581329,9.234357834
Fp1_Col1_Fp1_Col2,8.141102791,11.50136852
Fp1_Col1_Fp1_Col2,8.139548302,8.847874641
Fp1_Col1_Fp1_Col2,8.116316795,9.32288456
Fp1_Col1_Fp1_Col2,8.107182503,10.90482807
Fp1_Col1_Fp1_Col2,8.09617424,8.255084991
Fp1_Col1_Fp1_Col2,8.089771271,14.07434464
Fp1_Col1_Fp1_Col2,8.07669735,9.332361221
Fp1_Col1_Fp1_Col2,8.058127403,8.072684288
Fp1_Col1_Fp1_Col2,8.055814743,10.68412113
Fp1_Col1_Fp1_Col2,8.049102783,9.105895042
Fp1_Col1_Fp1_Col2,8.036906242,17.34586716
Fp1_Col1_Fp1_Col2,8.033214569,8.410558701
Fp1_Col1_Fp1_Col2,8.026070595,12.8285408
Fp1_Col1_Fp1_Col2,8.022403717,9.415344238
Fp1_Col1_Fp1_Col2,8.015563965,10.95739174
Fp1_Col1_Fp1_Col2,8.00746727,9.170564651
Fp1_Col1_Fp1_Col2,8.000469208,17.04367256
Fp1_Col1_Fp1_Col2,7.994364738,8.46985054
Fp1_Col1_Fp1_Col2,7.984953403,9.822751045
Fp1_Col1_Fp1_Col2,7.984701157,15.25052357
Fp1_Col1_Fp1_Col2,7.958055973,9.633635521
Fp1_Col1_Fp1_Col2,7.957483768,12.77504158
Fp1_Col1_Fp1_Col2,7.955798626,11.10447407
